

Measurement ID,9457
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_086
Program,784 - EISRemote_GH_RPT_dch
Start Time,12/07/2019 15:30:25
End Time,13/07/2019 20:07:11
Test section,EIS00004
Comment,
OrderNo,
Producer, LG
Type, NMC
Nominal Voltage, 3.6
Nominal Current, 6
Nominal Capacity, 3
Cells, 0
Maximum Voltage, 6
Gassing Voltage, 6
Break Voltage, 6
Charge Factor, 6
Impedance, 6
Cold Cranking Current, 6
Energy Density, 6
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis007,EisFinish,
,,,,,,,[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[StartEis],[EisFinish],
5,EIS,00:00:22.060,22:46:45.494,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6500.0000,2.0000,1.5000,6.2000,8.0000,1.0000,16.0000,3.6630,15.5487,7.4958,6400.0000,0.0000,2.0000,4.0000,3.0000,0.9891,0.4584,17.2612,25.7380,1.0000,0.0000,
5,EIS,00:00:32.536,22:46:55.970,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4874.3124,2.0000,1.5000,6.2000,8.0000,2.0000,16.0000,3.6630,15.4646,5.5585,4800.0000,0.0000,2.0000,4.0000,3.0000,0.9474,0.4612,16.4332,19.7700,1.0000,0.0000,
5,EIS,00:00:42.597,22:47:06.031,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3655.2186,2.0000,1.5000,6.2000,8.0000,3.0000,16.0000,3.6630,15.4413,4.0952,3692.3076,0.0000,2.0000,4.0000,3.0000,0.9650,0.4833,15.9751,14.8536,1.0000,0.0000,
5,EIS,00:00:53.355,22:47:16.789,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2741.0273,2.0000,1.5000,6.2000,8.0000,4.0000,16.0000,3.6630,15.5013,2.7502,2742.8572,0.0000,2.0000,4.0000,3.0000,0.9789,0.4974,15.7434,10.0607,1.0000,0.0000,
5,EIS,00:01:03.288,22:47:26.722,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2055.4805,2.0000,1.5000,6.2000,8.0000,5.0000,16.0000,3.6630,15.6310,1.6994,2042.5532,0.0000,2.0000,4.0000,3.0000,0.9915,0.5045,15.7231,6.2050,1.0000,0.0000,
5,EIS,00:01:14.260,22:47:37.694,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1541.3929,2.0000,1.5000,6.2000,8.0000,6.0000,16.0000,3.6630,15.8052,0.9202,1548.3871,0.0000,2.0000,4.0000,3.0000,1.0014,0.5060,15.8320,3.3320,1.0000,0.0000,
5,EIS,00:01:24.843,22:47:48.277,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1155.8816,2.0000,1.5000,6.2000,8.0000,7.0000,16.0000,3.6630,16.0378,0.2809,1156.6265,0.0000,2.0000,4.0000,3.0000,1.0097,0.5036,16.0403,1.0034,1.0000,0.0000,
5,EIS,00:01:35.278,22:47:58.712,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,866.7889,2.0000,1.5000,6.2000,8.0000,8.0000,16.0000,3.6630,16.3089,-0.2083,864.8649,0.0000,2.0000,4.0000,3.0000,1.0148,0.4977,16.3102,-0.7319,1.0000,0.0000,
5,EIS,00:01:45.714,22:48:09.148,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,650.0000,2.0000,1.5000,6.2000,8.0000,9.0000,16.0000,3.6630,16.6003,-0.5686,648.6486,0.0000,2.0000,4.0000,3.0000,1.0170,0.4898,16.6100,-1.9616,1.0000,0.0000,
5,EIS,00:01:56.330,22:48:19.764,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,487.4312,2.0000,1.5000,6.2000,8.0000,10.0000,16.0000,3.6630,16.9091,-0.8321,487.3096,0.0000,2.0000,4.0000,3.0000,1.0186,0.4814,16.9295,-2.8172,1.0000,0.0000,
5,EIS,00:02:07.264,22:48:30.698,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,365.5219,2.0000,1.5000,6.2000,8.0000,11.0000,16.0000,3.6630,17.2282,-1.0143,365.0190,0.0000,2.0000,4.0000,3.0000,1.0188,0.4723,17.2580,-3.3693,1.0000,0.0000,
5,EIS,00:02:18.238,22:48:41.672,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,274.1027,2.0000,1.5000,6.2000,8.0000,12.0000,16.0000,3.6630,17.5433,-1.1291,274.2857,0.0000,2.0000,4.0000,3.0000,1.0181,0.4633,17.5796,-3.6826,1.0000,0.0000,
5,EIS,00:02:29.821,22:48:53.255,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,205.5480,2.0000,1.5000,6.2000,8.0000,13.0000,16.0000,3.6630,17.8598,-1.1900,205.5675,0.0000,2.0000,4.0000,3.0000,1.0185,0.4552,17.8994,-3.8119,1.0000,0.0000,
5,EIS,00:02:40.995,22:49:04.429,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,154.1393,2.0000,1.5000,6.2000,8.0000,14.0000,16.0000,3.6630,18.1617,-1.2015,154.3408,0.0000,2.0000,4.0000,3.0000,1.0166,0.4468,18.2014,-3.7850,1.0000,0.0000,
5,EIS,00:02:52.159,22:49:15.593,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,115.5882,2.0000,1.5000,6.2000,8.0000,15.0000,16.0000,3.6630,18.4523,-1.1708,115.6627,0.0000,2.0000,4.0000,3.0000,1.0160,0.4396,18.4894,-3.6305,1.0000,0.0000,
5,EIS,00:03:03.203,22:49:26.637,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,86.6789,2.0000,1.5000,6.2000,8.0000,16.0000,16.0000,3.6630,18.7179,-1.1066,86.6426,0.0000,2.0000,4.0000,3.0000,1.0139,0.4326,18.7506,-3.3835,1.0000,0.0000,
5,EIS,00:03:14.306,22:49:37.740,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,65.0000,2.0000,1.5000,6.2000,8.0000,17.0000,16.0000,3.6630,18.9533,-1.0130,65.0406,0.0000,2.0000,4.0000,3.0000,1.0122,0.4266,18.9803,-3.0593,1.0000,0.0000,
5,EIS,00:03:25.874,22:49:49.308,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,48.7431,2.0000,1.5000,6.2000,8.0000,18.0000,16.0000,3.6630,19.1493,-0.8986,48.7805,0.0000,2.0000,4.0000,3.0000,1.0101,0.4215,19.1704,-2.6866,1.0000,0.0000,
5,EIS,00:03:37.405,22:50:00.839,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,36.5522,2.0000,1.5000,6.2000,8.0000,19.0000,16.0000,3.6630,19.3050,-0.7824,36.5854,0.0000,2.0000,4.0000,3.0000,1.0079,0.4173,19.3209,-2.3208,1.0000,0.0000,
5,EIS,00:03:48.871,22:50:12.305,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,27.4103,2.0000,1.5000,6.2000,8.0000,20.0000,16.0000,3.6630,19.4247,-0.6715,27.3973,0.0000,2.0000,4.0000,3.0000,1.0060,0.4141,19.4363,-1.9799,1.0000,0.0000,
5,EIS,00:03:59.808,22:50:23.242,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,20.5548,2.0000,1.5000,6.2000,8.0000,21.0000,16.0000,3.6630,19.5132,-0.5765,20.5479,0.0000,2.0000,4.0000,3.0000,1.0042,0.4115,19.5217,-1.6923,1.0000,0.0000,
5,EIS,00:04:11.589,22:50:35.023,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,15.4139,2.0000,1.5000,6.2000,8.0000,22.0000,16.0000,3.6630,19.5820,-0.5010,15.4242,0.0000,2.0000,4.0000,3.0000,1.0030,0.4096,19.5884,-1.4655,1.0000,0.0000,
5,EIS,00:04:22.371,22:50:45.805,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,11.5588,2.0000,1.5000,6.2000,8.0000,23.0000,16.0000,3.6630,19.6357,-0.4490,11.5385,0.0000,2.0000,4.0000,3.0000,1.0031,0.4086,19.6408,-1.3100,1.0000,0.0000,
5,EIS,00:04:33.420,22:50:56.854,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,8.6679,2.0000,1.5000,6.2000,8.0000,24.0000,16.0000,3.6630,19.6806,-0.4167,8.6705,0.0000,2.0000,4.0000,3.0000,1.0026,0.4075,19.6850,-1.2128,1.0000,0.0000,
5,EIS,00:04:45.202,22:51:08.636,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6.5000,2.0000,1.5000,6.2000,8.0000,25.0000,16.0000,3.6630,19.7197,-0.4063,6.4935,0.0000,2.0000,4.0000,3.0000,1.0017,0.4063,19.7238,-1.1802,1.0000,0.0000,
5,EIS,00:04:56.027,22:51:19.461,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4.8743,2.0000,1.5000,6.2000,8.0000,26.0000,16.0000,3.6630,19.7537,-0.4101,4.8701,0.0000,2.0000,4.0000,3.0000,1.0017,0.4056,19.7580,-1.1893,1.0000,0.0000,
5,EIS,00:05:07.220,22:51:30.654,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3.6552,2.0000,1.5000,6.2000,8.0000,27.0000,16.0000,3.6630,19.8008,-0.4352,3.6585,0.0000,2.0000,4.0000,3.0000,1.0025,0.4049,19.8056,-1.2590,1.0000,0.0000,
