

Measurement ID,12822
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_086
Program,784 - EISRemote_GH_RPT_dch
Start Time,25/01/2021 16.40.08
End Time,26/01/2021 20.27.01
Test section,EIS00004
Comment,
OrderNo,
Producer,LG
Type,NMC
Nominal Voltage,3.600
Nominal Current,6.000
Nominal Capacity,3.000
Cells,0
Maximum Voltage,6.000
Gassing Voltage,6.000
Break Voltage,6.000
Charge Factor,6.000
Impedance,6.000
Cold Cranking Current,6.000
Energy Density,6.000
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis007,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[StartEis],[EisFinish],
5,EIS,00:00:21.341,22:01:47.820,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6500.0000,2.0000,1.5000,6.2000,8.0000,1.0000,16.0000,3.6885,16.0832,8.5401,6400.0000,0.0000,2.0000,4.0000,3.0000,0.9996,0.4392,18.2100,27.9681,1.0000,0.0000,
5,EIS,00:00:30.595,22:01:57.074,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4874.3124,2.0000,1.5000,6.2000,8.0000,2.0000,16.0000,3.6885,15.9498,6.4056,4800.0000,0.0000,2.0000,4.0000,3.0000,0.9400,0.4375,17.1880,21.8810,1.0000,0.0000,
5,EIS,00:00:40.210,22:02:06.689,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3655.2186,2.0000,1.5000,6.2000,8.0000,3.0000,16.0000,3.6885,15.8858,4.8008,3692.3076,0.0000,2.0000,4.0000,3.0000,0.9604,0.4630,16.5953,16.8153,1.0000,0.0000,
5,EIS,00:00:49.333,22:02:15.812,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2741.0273,2.0000,1.5000,6.2000,8.0000,4.0000,16.0000,3.6885,15.8968,3.3308,2742.8572,0.0000,2.0000,4.0000,3.0000,0.9727,0.4791,16.2420,11.8337,1.0000,0.0000,
5,EIS,00:00:59.233,22:02:25.712,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2055.4805,2.0000,1.5000,6.2000,8.0000,5.0000,16.0000,3.6885,15.9822,2.1864,2042.5532,0.0000,2.0000,4.0000,3.0000,0.9883,0.4901,16.1311,7.7898,1.0000,0.0000,
5,EIS,00:01:08.926,22:02:35.405,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1541.3929,2.0000,1.5000,6.2000,8.0000,6.0000,16.0000,3.6885,16.1170,1.3406,1548.3871,0.0000,2.0000,4.0000,3.0000,0.9993,0.4943,16.1727,4.7550,1.0000,0.0000,
5,EIS,00:01:18.526,22:02:45.005,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1155.8816,2.0000,1.5000,6.2000,8.0000,7.0000,16.0000,3.6885,16.3057,0.6468,1156.6265,0.0000,2.0000,4.0000,3.0000,1.0067,0.4935,16.3186,2.2717,1.0000,0.0000,
5,EIS,00:01:27.947,22:02:54.426,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,866.7889,2.0000,1.5000,6.2000,8.0000,8.0000,16.0000,3.6885,16.5286,0.1149,864.8649,0.0000,2.0000,4.0000,3.0000,1.0115,0.4896,16.5290,0.3985,1.0000,0.0000,
5,EIS,00:01:37.392,22:03:03.871,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,650.0000,2.0000,1.5000,6.2000,8.0000,9.0000,16.0000,3.6885,16.7713,-0.2839,648.6486,0.0000,2.0000,4.0000,3.0000,1.0139,0.4836,16.7737,-0.9698,1.0000,0.0000,
