

Measurement ID,16432
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_084
Program,784 - EISRemote_GH_RPT_dch
Start Time,3/30/2022 11:54:09
End Time,3/31/2022 15:25:59
Test section,EIS00004
Comment,
OrderNo,
Producer,LG
Type,NMC
Nominal Voltage,3.600
Nominal Current,6.000
Nominal Capacity,3.000
Cells,0
Maximum Voltage,6.000
Gassing Voltage,6.000
Break Voltage,6.000
Charge Factor,6.000
Impedance,6.000
Cold Cranking Current,6.000
Energy Density,6.000
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis0015,EisFinish,
[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[EIS],[StartEis],[EisFinish],
5,EIS,00:00:21.172,21:47:11.832,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6500.0000,2.0000,1.5000,6.2000,8.0000,1.0000,16.0000,3.7022,15.7751,3.4282,6400.0000,0.0000,2.0000,4.0000,3.0000,0.9997,0.4954,16.1433,12.2608,1.0000,0.0000,
5,EIS,00:00:30.671,21:47:21.331,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4874.3124,2.0000,1.5000,6.2000,8.0000,2.0000,16.0000,3.7022,15.7623,2.4270,4800.0000,0.0000,2.0000,4.0000,3.0000,0.9844,0.4938,15.9481,8.7533,1.0000,0.0000,
5,EIS,00:00:40.602,21:47:31.262,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3655.2186,2.0000,1.5000,6.2000,8.0000,3.0000,16.0000,3.7022,15.7975,1.6570,3692.3076,0.0000,2.0000,4.0000,3.0000,0.9915,0.4994,15.8842,5.9877,1.0000,0.0000,
5,EIS,00:00:50.286,21:47:40.946,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2741.0273,2.0000,1.5000,6.2000,8.0000,4.0000,16.0000,3.7022,15.8982,0.9372,2742.8572,0.0000,2.0000,4.0000,3.0000,0.9977,0.5012,15.9258,3.3736,1.0000,0.0000,
5,EIS,00:01:00.011,21:47:50.671,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2055.4805,2.0000,1.5000,6.2000,8.0000,5.0000,16.0000,3.7022,16.0436,0.3679,2042.5532,0.0000,2.0000,4.0000,3.0000,1.0035,0.5003,16.0478,1.3137,1.0000,0.0000,
5,EIS,00:01:09.523,21:48:00.183,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1541.3929,2.0000,1.5000,6.2000,8.0000,6.0000,16.0000,3.7022,16.2216,-0.0592,1548.3871,0.0000,2.0000,4.0000,3.0000,1.0080,0.4971,16.2217,-0.2090,1.0000,0.0000,
5,EIS,00:01:18.930,21:48:09.590,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1155.8816,2.0000,1.5000,6.2000,8.0000,7.0000,16.0000,3.7022,16.4404,-0.4150,1156.6265,0.0000,2.0000,4.0000,3.0000,1.0118,0.4922,16.4457,-1.4459,1.0000,0.0000,
5,EIS,00:01:28.867,21:48:19.527,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,866.7889,2.0000,1.5000,6.2000,8.0000,8.0000,16.0000,3.7022,16.6815,-0.6932,864.8649,0.0000,2.0000,4.0000,3.0000,1.0140,0.4859,16.6959,-2.3795,1.0000,0.0000,
5,EIS,00:01:39.359,21:48:30.019,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,650.0000,2.0000,1.5000,6.2000,8.0000,9.0000,16.0000,3.7022,16.9379,-0.9058,648.6486,0.0000,2.0000,4.0000,3.0000,1.0152,0.4788,16.9621,-3.0612,1.0000,0.0000,
5,EIS,00:01:50.205,21:48:40.865,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,487.4312,2.0000,1.5000,6.2000,8.0000,10.0000,16.0000,3.7022,17.2024,-1.0691,487.3096,0.0000,2.0000,4.0000,3.0000,1.0157,0.4714,17.2356,-3.5564,1.0000,0.0000,
5,EIS,00:02:00.369,21:48:51.029,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,365.5219,2.0000,1.5000,6.2000,8.0000,11.0000,16.0000,3.7021,17.4784,-1.2001,365.0190,0.0000,2.0000,4.0000,3.0000,1.0161,0.4640,17.5195,-3.9278,1.0000,0.0000,
5,EIS,00:02:11.004,21:49:01.664,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,274.1027,2.0000,1.5000,6.2000,8.0000,12.0000,16.0000,3.7022,17.7554,-1.3006,274.2857,0.0000,2.0000,4.0000,3.0000,1.0157,0.4564,17.8030,-4.1894,1.0000,0.0000,
5,EIS,00:02:22.030,21:49:12.690,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,205.5480,2.0000,1.5000,6.2000,8.0000,13.0000,16.0000,3.7022,18.0431,-1.3836,205.5675,0.0000,2.0000,4.0000,3.0000,1.0169,0.4496,18.0961,-4.3849,1.0000,0.0000,
5,EIS,00:02:32.244,21:49:22.904,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,154.1393,2.0000,1.5000,6.2000,8.0000,14.0000,16.0000,3.7021,18.3369,-1.4507,154.3408,0.0000,2.0000,4.0000,3.0000,1.0162,0.4419,18.3942,-4.5235,1.0000,0.0000,
5,EIS,00:02:43.851,21:49:34.511,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,115.5882,2.0000,1.5000,6.2000,8.0000,15.0000,16.0000,3.7021,18.6431,-1.5015,115.6627,0.0000,2.0000,4.0000,3.0000,1.0171,0.4350,18.7034,-4.6045,1.0000,0.0000,
5,EIS,00:02:54.207,21:49:44.867,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,86.6789,2.0000,1.5000,6.2000,8.0000,16.0000,16.0000,3.7021,18.9652,-1.5355,86.6426,0.0000,2.0000,4.0000,3.0000,1.0171,0.4276,19.0272,-4.6288,1.0000,0.0000,
5,EIS,00:03:04.780,21:49:55.440,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,65.0000,2.0000,1.5000,6.2000,8.0000,17.0000,16.0000,3.7022,19.2912,-1.5452,65.0406,0.0000,2.0000,4.0000,3.0000,1.0170,0.4204,19.3530,-4.5795,1.0000,0.0000,
5,EIS,00:03:15.973,21:50:06.633,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,48.7431,2.0000,1.5000,6.2000,8.0000,18.0000,16.0000,3.7021,19.6241,-1.5266,48.7805,0.0000,2.0000,4.0000,3.0000,1.0172,0.4134,19.6834,-4.4481,1.0000,0.0000,
5,EIS,00:03:26.544,21:50:17.204,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,36.5522,2.0000,1.5000,6.2000,8.0000,19.0000,16.0000,3.7021,19.9487,-1.4742,36.5854,0.0000,2.0000,4.0000,3.0000,1.0163,0.4065,20.0031,-4.2266,1.0000,0.0000,
5,EIS,00:03:37.193,21:50:27.853,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,27.4103,2.0000,1.5000,6.2000,8.0000,20.0000,16.0000,3.7021,20.2574,-1.3897,27.3973,0.0000,2.0000,4.0000,3.0000,1.0152,0.4000,20.3050,-3.9243,1.0000,0.0000,
5,EIS,00:03:47.912,21:50:38.572,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,20.5548,2.0000,1.5000,6.2000,8.0000,21.0000,16.0000,3.7022,20.5350,-1.2709,20.5479,0.0000,2.0000,4.0000,3.0000,1.0131,0.3939,20.5743,-3.5414,1.0000,0.0000,
5,EIS,00:03:58.930,21:50:49.590,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,15.4139,2.0000,1.5000,6.2000,8.0000,22.0000,16.0000,3.7022,20.7701,-1.1416,15.4242,0.0000,2.0000,4.0000,3.0000,1.0107,0.3887,20.8014,-3.1461,1.0000,0.0000,
5,EIS,00:04:09.507,21:51:00.167,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,11.5588,2.0000,1.5000,6.2000,8.0000,23.0000,16.0000,3.7021,20.9595,-1.0119,11.5385,0.0000,2.0000,4.0000,3.0000,1.0092,0.3848,20.9839,-2.7640,1.0000,0.0000,
5,EIS,00:04:20.525,21:51:11.185,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,8.6679,2.0000,1.5000,6.2000,8.0000,24.0000,16.0000,3.7021,21.1056,-0.8923,8.6705,0.0000,2.0000,4.0000,3.0000,1.0071,0.3814,21.1244,-2.4208,1.0000,0.0000,
5,EIS,00:04:31.867,21:51:22.527,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6.5000,2.0000,1.5000,6.2000,8.0000,25.0000,16.0000,3.7021,21.2190,-0.7954,6.4935,0.0000,2.0000,4.0000,3.0000,1.0049,0.3786,21.2339,-2.1467,1.0000,0.0000,
